Evento,Recinto,Artista,Ciudad,Pais,Fecha de incio,Productora,ID_evento
BZRP Tour,Pabellon Max Schmeling,Paulo Londra,BERLIN,ALEMANIA,09/05/2020,Nachhaltige Events,E1
Como si no importara,Arena Ludwingsburg,Emilia,LUDWINGSBURG,ALEMANIA,23-01-2021,fullevent.de,E2
Born this way,Irving Plaza,Lady Gaga,NUEVA YORK,ESTADOS UNIDOS,12/09/2020,CSI DMC,E3
El Duko2.0,Thunder Bay,Duki,ONTARIO,CANADA,29-07-2020,EventsEye,E4
LOS APARATOS,Tarpeian Precinct Lawn,Trueno,SYDNEY,AUTRALIA,12/08/2018,YouTOOProject,E5
Reputation,Raley Field,Taylor Swift,SACRAMENTO,ESTADOS UNIDOS,30-03-2016,Live Nation,E6
WAP,E-Werk,Cardi B,COLOGNE,ALEMANIA,06/03/2016,MGC,E7
BZRP Tour,Pabellon Max Schmeling,Snow,BERLIN,ALEMANIA,09/05/2020,Nachhaltige Events,E8
One Night Only,Bilbao Arena,Bee Gees,BILBAO,ESPAÑA,10/08/2021,Ibolele Producciones,E9
Dia Cero,Forest National,La Ley,FOREST,BELGICA,14-11-2018,Global Journey,E10
CARAVANA,Don Haskins Center,Wos,TEXAS,ESTADOS UNIDOS,05/01/2019,Event Production Company,E11
WAP,Madison Square Garden,Cardi B,NUEVA YORK,ESTADOS UNIDOS,23-12-2018,The Imagos,E12
Mil Rosas,Leons Centre,La Oreja de Van Gogh,ONTARIO,CANADA,18-01-2018,Eventos Toronto Shaddai,E13
Quedate,Mercedes-Benz Arena,Quevedo,BERLIN,ALEMANIA,19-01-2022,Eventveranstalter Hamburg,E14
Lively And Supreme,Quinta Vergara,Armin Van Buuren,VIÑA DEL MAR,CHILE,30-08-2018,G & t business group spa,E15
Anastasia,Pabellon Fuente de San Luis,Cami,VALENCIA,ESPAÑA,04/07/2020,Planet Events,E16
Myrad,Teatro Municipal de Santiago,Nicky Romero,SANTIAGO,CHILE,03/05/2016,Universal circus,E17
Dolby Live,Palais 12,Aerosmith,BRUSELAS,BELGICA,07/06/2016,Top Bruselas,E18
Disney Concert,Estadio Unico Diego Armando Maradona,Olivia Rodrigo,BUENOS AIRES,ARGENTINA,15-03-2016,ATOMIC FILMS,E19
Map of the Soul,Teatro Municipal de Santiago,BTS,SANTIAGO,CHILE,05/12/2020,Capsule producciones spa,E20
A7S Show,Carrer Baix Vinalopo,A7S,MISLATA,ESPAÑA,06/01/2019,Live Nation,E21
Show Forest,Radio City Music Hall,5 Seconds of Summer,NUEVA YORK,ESTADOS UNIDOS,11/04/2016,Hartmann Studios,E22
The Misery,Spark Arena,Imagine Dragons,AUCKLAND,NUEVA ZELANDA,27-10-2020,Queenstown Event Company,E23
Passionfruit,Club Blondie,Drake,SANTIAGO,CHILE,18-05-2017,Producciones y eventos empire digital limitada,E24
Concha Acustica UC 2022,Club Subterraneo,Marcianeke,SANTIAGO,CHILE,24-10-2022,Eventos mudness limitada,E25
Fourplan Event,Olympiahalle,Luar La L,MUNICH,ALEMANIA,16-08-2016,Yataco,E26
CLARITY,Estadio Nacional,Kesha,SANTIAGO,CHILE,17-08-2018,DG Medios y espectaculos s.a.,E27
Passionfruit,Explanada Ciudad Empresarial,Drake,SANTIAGO,CHILE,13-04-2020,Reverb - productora de eventos,E28
KAWAII,SALA SANTANA,Polima Westcoast,BILBAO,ESPAÑA,06/02/2022,Planet Events,E29
DISCOTEKA,El Huevo,Lola Indigo,VALPARAISO,CHILE,30-09-2017,Global producciones spa,E30
Entre Nosotros,Sala La Rivera,Tiago PZK,MADRID,ESPAÑA,21-12-2020,Live Nation,E31
Como si no importara,Arena Ludwingsburg,Duki,LUDWINGSBURG,ALEMANIA,23-01-2021,fullevent.de,E32
Younger now,HISTORY,Miley Cyrus,TORONTO,CANADA,27-03-2017,EventsEye,E33
The After Hours,Teatro Caupolicán,The Weeknd,SANTIAGO,CHILE,08/05/2018,Apparcel producciones limitada,E34
Plastic Hearts,UBS Arena,Miley Cyrus,NUEVA YORK,ESTADOS UNIDOS,23-05-2021,Los Angeles AV Production,E35
Anastasia,Teatro Cariola,Cami,SANTIAGO,CHILE,19-07-2019,G & t business group spa,E36
CLARITY,Estadio Nacional,Zedd,SANTIAGO,CHILE,17-08-2018,DG Medios y espectaculos s.a.,E37
Bigger than me,Estadio ANZ,Louis Tomlinson,SYDNEY,AUTRALIA,28-07-2019,CMG Audio Visual,E38
Alpha Eventalist,Estadio Bicentario de La Florida,Duncan Laurence,SANTIAGO,CHILE,15-10-2021,DG Medios y espectaculos s.a.,E39
Beto Cuevas,Kursaal Oostende,Beto Cuevas,OSTEND,BELGICA,12/04/2018,Litmind,E40
Mystere,LAUT,Cirque du Solei,BARCELONA,ESPAÑA,10/08/2019,IndyRock,E41
The After Hours,Teatro Coliseo,The Weeknd,SANTIAGO,CHILE,20-04-2018,Producciones oz limitada,E42
Rio Concert,Vivo Rio,Anuel AA,RIO DE JANEIRO,BRASIL,26-02-2016,Agencia 360,E43
Frozen,Teatro Colon,Madonna,BUENOS AIRES,ARGENTINA,09/12/2019,FMG PRODUCCIONES,E44
Nino Blessi,SOF Q8 Toinha Brasil,DrefQuila,BRASILIA,BRASIL,08/09/2019,Urban Music,E45
Show Forest,Radio City Music Hall,Big Time Rush,NUEVA YORK,ESTADOS UNIDOS,11/04/2016,Hartmann Studios,E46
S.U.N.O,The Anthem,Pablo Chill-E,WASHINGTON DC,ESTADOS UNIDOS,16-06-2016,Los Angeles AV Production,E47
Rio Concert,Vivo Rio,Maria Becerra,RIO DE JANEIRO,BRASIL,26-02-2016,Agencia 360,E48
Concha Acustica UC 2022,Club Subterraneo,Pablo Chill-E,SANTIAGO,CHILE,24-10-2022,Eventos mudness limitada,E49
Que oso,Youtube Theatre,Snow,LOS ANGELES,ESTADOS UNIDOS,22-05-2018,Los Angeles AV Production,E50
EQILIBRIO,Festhalle,Polima Westcoast,FRANKFURT,ALEMANIA,14-08-2021,Europages,E51
Paramore,Powerstation 33,Paramore,AUCKLAND,NUEVA ZELANDA,30-05-2016,manatua.nz,E52
QueenB,Club Providencia,Beyonce,SANTIAGO,CHILE,06/08/2019,Casa eventos,E53
BZRP Tour,Pabellon Max Schmeling,Bizarrap,BERLIN,ALEMANIA,09/05/2020,Nachhaltige Events,E54
Flicker,SALA SANTANA,Niall Horan,BILBAO,ESPAÑA,18-04-2021,IndyRock,E55
I Aint Worried,Estadio Monumental,One Republic,BUENOS AIRES,ARGENTINA,01/12/2019,K PRODUCCIONES S.A.,E56
Tomorrow Never Knows,Studio The Venue,The Beatles,AUCKLAND,NUEVA ZELANDA,07/03/2020,Ethno Nueva Zelanda,E57
La Ultima Mision,Estadio Rose Bowl,Wisin & Yandel,LOS ANGELES,ESTADOS UNIDOS,12/08/2017,CSI DMC,E58
Bachata en vivo,Irving Plaza,Prince Royce,NUEVA YORK,ESTADOS UNIDOS,05/11/2020,The Imagos,E59
Perfect Specacular Paradise,Estadio Monumental,Alan Walker,SANTIAGO,CHILE,16-06-2016,Vision world producciones limitada,E60
Five Day,Arena TSB Bank,Pearl Jam,WELLINGTON,NUEVA ZELANDA,08/07/2021,Event Management NZ,E61
Same old love,Days Bay Pavilion,Selena Gomez,LOWER HUTT,NUEVA ZELANDA,28-03-2020,manatua.nz,E62
Lotto,Estadio Nacional,EXO,SANTIAGO,CHILE,10/10/2021,Tolten eventos,E63
Dangerous Woman,Days Bay Pavilion,Ariana Grande,LOWER HUTT,NUEVA ZELANDA,08/02/2018,Ethno Nueva Zelanda,E64
Passionfruit,Columbianhalle,Drake,BERLIN,ALEMANIA,10/10/2020,Europages,E65
Twelve Carat Tour,Sala La Rivera,Post Malone,MADRID,ESPAÑA,08/07/2022,Live Nation,E66
Map of the Soul,Shubert Theatre,BTS,BOSTON,ESTADOS UNIDOS,21-06-2020,The Imagos,E67
Gowlding,Sala Apolo,Ellie Gowlding,BARCELONA,ESPAÑA,03/07/2019,Live Nation,E68
Gowlding,Salitre Magico,Ellie Gowlding,BOGOTA,COLOMBIA,17-12-2022,Audio Level Eventos,E69
DJs Apoyando a Chile,Teatro Teletón,David Guetta,SANTIAGO,CHILE,11/12/2016,Andeschimp spa,E70
Seize The Day,Thunder Bay,My Chemical Romance,ONTARIO,CANADA,08/09/2022,EventsEye,E71
Papi Juancho,Cirque Royal,Maluma,BRUSELAS,BELGICA,16-07-2021,Expat,E72
Le Reve,The Fillmore Philadelphia,Cirque du Solei,PHILADELPHIA,ESTADOS UNIDOS,28-03-2017,Live Nation,E73
"Young, Dumb and Broke",Teatro Municipal de Santiago,Khalid,SANTIAGO,CHILE,16-09-2022,G & t business group spa,E74
How do you sleep,Teatro Municipal de Santiago,San Smith,SANTIAGO,CHILE,25-09-2021,Time for fun (t4f),E75
Anastasia,Salitre Magico,Cami,BOGOTA,COLOMBIA,07/12/2019,Ye & Ca Producciones,E76
Sin Despertar,Warehouse Live,Kudai,TEXAS,ESTADOS UNIDOS,26-02-2020,Hartmann Studios,E77
Ye,El Huevo,Kanye West,VALPARAISO,CHILE,08/11/2022,G & t business group spa,E78
BZRP Tour,Pabellon Max Schmeling,Cazzu,BERLIN,ALEMANIA,09/05/2020,Nachhaltige Events,E79
1989,Jeunesse Arena,Taylor Swift,RIO DE JANEIRO,BRASIL,13-07-2018,Somosfk,E80
Phoenix Show,Espacio Unimed,Rita Ora,SAO PAULO,BRASIL,08/01/2016,Somosfk,E81
